Reporting Region,City,State,Zip,Country,FullAddress,lat,lng
USA,Birmingham,AL,35209,USA,Birmingham AL 35209 USA,33.4702383,-86.8069698
USA,Little Rock,AR,72204,USA,Little Rock AR 72204 USA,34.7179437,-92.3714901
USA,Tempe,AZ,85282,USA,Tempe AZ 85282 USA,33.3897576,-111.9343636
USA,Atascadero,CA,93422,USA,Atascadero CA 93422 USA,35.4894169,-120.6707255
USA,Bakersfield,CA,93309,USA,Bakersfield CA 93309 USA,35.3515611,-119.0576298
USA,San Bernadino,CA,92407,USA,San Bernadino CA 92407 USA,34.216765,-117.3851496
USA,Van Nuys,CA,91411,USA,Van Nuys CA 91411 USA,34.1799855,-118.4601175
USA,Eureka,CA,95501,USA,Eureka CA 95501 USA,40.8134774,-124.1460963
USA,Oakland,CA,94603,USA,Oakland CA 94603 USA,37.7355719,-122.1802812
USA,Redding,CA,96002,USA,Redding CA 96002 USA,40.5229147,-122.3221947
USA,Riverside,CA,92507,USA,Riverside CA 92507 USA,33.9734553,-117.3263893
USA,Sacramento,CA,95815,USA,Sacramento CA 95815 USA,38.5963157,-121.4399041
USA,San Diego,CA,92037,USA,San Diego CA 92037 USA,32.84722,-117.27333
USA,Santa Rosa,CA,95401,USA,Santa Rosa CA 95401 USA,38.4409697,-122.7971649
USA,Hayward,CA,94545,USA,Hayward CA 94545 USA,37.6063621,-122.1178261
USA,Doral,FL,33126,USA,Doral FL 33126 USA,25.778647,-80.2962385
USA,Ft. Lauderdale,FL,33309,USA,Ft Lauderdale FL 33309 USA,26.1889227,-80.1763467
USA,Orlando,FL,32809,USA,Orlando FL 32809 USA,28.4588856,-81.3949264
USA,Tampa,FL,33634,USA,Tampa FL 33634 USA,28.01574,-82.5510469
USA,Savannah,GA,31415,USA,Savannah GA 31415 USA,32.0730973,-81.1251235
USA,Harmon,GU,96931,USA,Harmon GU 96931 USA,13.507,144.81538
USA,Honolulu,HI,96817,USA,Honolulu HI 96817 USA,21.3433967,-157.8390944
USA,Des Moines,IA,50313,USA,Des Moines IA 50313 USA,41.6542926,-93.6116494
USA,Pocatello,ID,83201,USA,Pocatello ID 83201 USA,42.8945981,-112.3540741
USA,Elk Grove Villa,IL,60007,USA,Elk Grove Villa IL 60007 USA,42.0113617,-88.0020589
USA,Peoria,IL,61610,USA,Peoria IL 61610 USA,40.644137,-89.596906
USA,Lenexa,KS,66215,USA,Lenexa KS 66215 USA,38.9647235,-94.7381013
USA,Lexington,KY,40511,USA,Lexington KY 40511 USA,38.1248882,-84.5012435
USA,Louisville,KY,40228,USA,Louisville KY 40228 USA,38.1352484,-85.6280697
USA,Ashland,KY,41101,USA,Ashland KY 41101 USA,38.4784144,-82.6379387
USA,New Orleans,LA,70123,USA,New Orleans LA 70123 USA,29.9392154,-90.1963364
USA,Shreveport,LA,71106,USA,Shreveport LA 71106 USA,32.3803257,-93.7333537
USA,Cambridge,MA,2138,USA,Cambridge MA 2138 USA,42.368878,-71.110957
USA,Baltimore,MD,22309,USA,Baltimore MD 22309 USA,39.3440439,-76.560971
USA,Portland,ME,4101,USA,Portland ME 4101 USA,43.6230383,-70.2081834
USA,Detroit,MI,48174,USA,Detroit MI 48174 USA,42.223867,-83.4003037
USA,Flint,MI,48507,USA,Flint MI 48507 USA,42.9753551,-83.7517851
USA,Grand Rapids,MI,49512,USA,Grand Rapids MI 49512 USA,42.8846539,-85.5509164
USA,Minneapolis,MN,55408,USA,Minneapolis MN 55408 USA,44.9479791,-93.2935778
USA,Saint Louis,MO,63114,USA,Saint Louis MO 63114 USA,38.7048818,-90.3465971
USA,Bozeman,MT,59715,USA,Bozeman MT 59715 USA,45.6834599,-111.050499
USA,Greenville,NC,27858,USA,Greenville NC 27858 USA,35.612661,-77.3663538
USA,Raleigh,NC,27604,USA,Raleigh NC 27604 USA,35.8150476,-78.5774408
USA,Winston Salem,NC,27103,USA,Winston Salem NC 27103 USA,36.0564654,-80.3324514
USA,Bismark,ND,58501,USA,Bismark ND 58501 USA,46.8243438,-100.659753
USA,West Fargo,ND,58078,USA,West Fargo ND 58078 USA,46.8716667,-96.895
USA,South Kearny,NJ,7032,USA,South Kearny NJ 7032 USA,40.728397,-74.106216
USA,Westville,NJ,8093,USA,Westville NJ 8093 USA,39.864278,-75.132606
USA,Roswell,NM,88203,USA,Roswell NM 88203 USA,33.2662245,-104.0072348
USA,Albuquerque,NM,87109,USA,Albuquerque NM 87109 USA,35.1590068,-106.5760857
USA,Las Vegas,NV,89120,USA,Las Vegas NV 89120 USA,36.0833352,-115.0999753
USA,Albany,NY,12205,USA,Albany NY 12205 USA,42.722661,-73.8301437
USA,New York,NY,10022,USA,New York NY 10022 USA,40.7593941,-73.9697795
USA,Rochester,NY,14606,USA,Rochester NY 14606 USA,43.168856,-77.6936948
USA,Columbus,OH,43204,USA,Columbus OH 43204 USA,39.9647732,-83.0844532
USA,Oklahoma City,OK,73128,USA,Oklahoma City OK 73128 USA,35.4485209,-97.6602365
USA,Portland,OR,97230,USA,Portland OR 97230 USA,45.5507889,-122.5057403
USA,Allentown,PA,18109,USA,Allentown PA 18109 USA,40.6084305,-75.4901833
