City,State,Zip,Country
Buenos Aires,Buenos Aires,,Argentina
Homebush West,NSW,2140,Australia
North Rockhampton,QLD,4701,Australia
Welshpool,WA,6103,Australia
South Melbourne,VIC,3205,Australia
Sandy Bay,Tasmania,7005,Australia
Northern Territory,Darwin,810,Australia
Fyshwick,ACT,2609,Australia
Eagle Farm,QLD,4009,Australia
Ridleyton,SA,5008,Australia
Wien,Wien,1210,Austria
Leonding,Linz,A-4060,Austria
Al-Hidd,Muharaq,,Bahrain
Dhaka,Dhaka,,Bangladesh
Brucargo,Brucargo,1931,Belgium
Devonshire,Devonshire,,Bermuda
Santa Cruz de la Sierra,Santa Cruz de la Sierra,,Bolivia
Salvador,Bahia,41300-501,Brazil
Rio de Janeiro,Rio de Janeiro,21041-170,Brazil
Abreu E Lima,Pernambuco,53520-785,Brazil
Cachoeirinha,Rio Grande do Sul,94930-000,Brazil
Sao Paulo,Sao Paulo,05035-000,Brazil
Fortaleza,Ceara,60864-520,Brazil
Tijucas,SC,88200-000,Brazil
Curitiba,Paraná,81170-230,Brazil
Brasilia,Distrito Federal,70760-767,Brazil
Belo Horizonte,Minas Gerais,30430-480,Brazil
Cambodia,Phnom Penh,,Cambodia
Winnipeg,Manitoba,R3H 0C2,Canada
Toronto,Ontario,M5A 1P6,Canada
Mississauga,ON,L5T 2B2,Canada
Paradise,Newfoundland,A1L 0A7,Canada
Calgary,Alberta,T2E 6J8,Canada
Rimouski,QC,G5L 6C7,Canada
Vancouver,BC,V6A 1C7,Canada
Montreal,QC,H3J 1R5,Canada
Timmins,ON,P4N 2K8,Canada
Saint John,NB,E2L 5Y4,Canada
Grand Prairie,Alberta,T8V 6W1,Canada
Thunder Bay,Ontario,P7B 4A5,Canada
Regina,Saskatchewan,S4N 5X3,Canada
Moncton,NB,E1H3L9,Canada
Lethbridge,Alberta,T1H 5J1,Canada
Windsor,Ontario,N8X 5E5,Canada
Ottawa,ON,K1G 0Z1,Canada
Markham,Ontario,L3R 1J1,Canada
Kelowna,BC,V1X 4A4,Canada
Kelowna,British Columbia,V1Y 7G7,Canada
Kamloops,BC,V2B 8A7,Canada
Dartmouth,Nova Scotia,B3B 1J1,Canada
Edmonton,AB,T5H 3E7,Canada
Sault Ste Marie,Ontario,P6B 0B9,Canada
Santiago de Chile,Santiago de Chile,,Chile
Shenzhen,Shenzhen,518000,China
Shenyang,Liaoning,110179,China
Pudong,Shanghai,201203,China
Shanghai,Shanghai,201201,China
Shanghai,Shanghai,201203,China
Guangzhou,Guangdong,,China
Da Xing Qu,Beijing,100176,China
Beijing,Beijing,101300,China
Beijing,Beijing,100101,China
Beijing,Beijing,100101,China
Monteria,,,Colombia
Medelin,Medelin,,Colombia
Bogota,Bogota,,Colombia
San Jose,San Jose,10108,Costa Rica
Liberia,Guanacaste,50101,Costa Rica
Rijeka,,51000,Croatia
Praha-Praha 17,,163 000,Czech Republic
Vallensbaek,Vallensbaek,2665,Denmark
Santo Domingo,Santo Domingo,10700,Dominican Republic
Quito,,,Ecuador
Cairo,,11111,Egypt
Espoo,,2630,Finland
Sassenage,,38360,France
Saint Alban,France,31140,France
Mundolsheim,,67450,France
Orvault,,44700,France
Cesson-Sevinge,,35510,France
Aix En Provence,Aix En Provence,13090,France
Villeurbanne,,69100,France
Lesquin,,59810,France
Courbevoie,,92400,France
Villeneuve-la-Garenne,,92390,France
Tremblay-en-France,,93290,France
Floirac,,33270,France
Regensburg,,93053,Germany
Berlin,Berlin,12459,Germany
Dahlwitz-hoppegarden,,15366,Germany
Leonberg,Stuttgart,71229,Germany
Leonberg,Stutgart,71229,Germany
Schwarzenfeld,,92521,Germany
Fraunberg - Tittenkofen,,85447,Germany
Unterschleisheim,Munchen,85716,Germany
Leipzig,,4179,Germany
Hamburg,,20537,Germany
Harburg,,20537,Germany
Mainz-Kastel,,55252,Germany
Raunheim,,65479,Germany
Roedermark,,63322,Germany
Düsseldorf,,40227,Germany
Dussedorf,,40595,Germany
Gibraltar,,GX1111A,Gibraltar
Athens,,10558,Greece
Tamuning,,96931,Guam
Hong Kong,Hong Kong,,Hong Kong
Hong Kong,Hong Kong,,Hong Kong
Budapest,,1211,Hungary
Kolkata,West Bengal,1,India
Kanpur,Uttar Pradesh,1,India
Pune,Maharashtra,1,India
Chennai,Tamil Nadu,1,India
Hyderabad,Andhara Pradesh,1,India
Gurgaon,Haryana,1,India
New Dehli,Delhi,1,India
Mumbai,Maharashtra,1,India
Navi Mumbai,Maharashtra,1,India
Bangalore,Karnataka,1,India
Kolkata,West Bengal,1,India
Jakarta,Jakarta,13620,Indonesia
Dublin,Dublin,Dublin 9,Ireland
Cork,Cork,,Ireland
Limerick City,Limerick,,Ireland
Santry,Dublin,Dublin 9,Ireland
Tel Aviv,,67443,Israel
Fiano Romano,,65,Italy
Sant'antonio Abate,Napoli,,Italy
Pechiera Borromeo,,20068,Italy
Cinisello Balsamo,Milano,,Italy
Fiumicino,Rome,54,Italy
Kobe-shi,Hyogo,654-0161 ,Japan
Yamaguchi-shi,Yamaguchi,754-0897,Japan
Tottori-shi,Tottori,680-0942,Japan
Toyama-shi,Toyama,930-0901,Japan
Itano-gun,Tokushima,771-0206,Japan
Sakaide-shi,Kagawa,762-0012,Japan
Abashiri,Hokkaido,093-0088,Japan
Tanabe-shi,Wakayama,646-0058,Japan
Sado-shi,Niigata,952-0212,Japan
Shibata-gun,Miyagi,989-1606,Japan
Kesennuma-shi,Miyagi,988-0184,Japan
Ishinomaki-shi,Miyagi,986-0805,Japan
Osaki-shi,Miyagi,989-6255,Japan
Sendai-shi,Miyagi,983-0034,Japan
Nasushiobara-shi,Tochigi,329-2702,Japan
Imaichi-shi,Tochigi,321-2332,Japan
Utsunomiya-shi,Tochigi,320-0071,Japan
Kashima-shi,Ibaraki,314-0022,Japan
Naka-shi,Ibaraki,311-0117,Japan
Chikusai-shi,Ibaraki,308-0114,Japan
Omitama-shi,Ibaraki,319-0102,Japan
Tsuchiura-shi,Ibaraki,300-0038,Japan
Tatebayashi-shi,Gunma,374-0006,Japan
Agatsuma-gun,Gunma,377-0423,Japan
Maebashi-shi,Gunma,379-2134,Japan
Mobara-shi,Chiba,297-0017,Japan
Asahi-shi,Chiba,289-2505,Japan
Katsuura-shi,Chiba,299-5264,Japan
Funabashi-shi,Chiba,273-0039,Japan
Higashiosaka,Osaka,577-0053,Japan
Yamato Koriyama-shi,Nara,639-1124,Japan
Kyoto-shi,Kyoto,601-8132,Japan
Osaka-shi,Osaka,555-0042,Japan
Osaka-shi,Osaka,538-0037,Japan
Odate-shi,Akita,017-0854,Japan
Chichibu-shi,Saitama,369-1871,Japan
Saitama-shi,Saitama,331-0046,Japan
Tsuyama-shi,Okayama,708-0841,Japan
Okayama-shi,Okayama,701-0202,Japan
Noshiro-shi,Akita,016-0171,Japan
Sapporo-shi,Hokkaido,003-0011,Japan
Naha-shi,Okinawa,900-0004,Japan
Oita-shi,Oita,870-0018,Japan
Obihiro,Hokkaido,080-2470,Japan
Chiba-shi,Chiba,260-0808,Japan
Ome-shi,Tokyo,198-0032,Japan
Shinagawa-ku,Tokyo,140-0002,Japan
Tajimi-shi,Gifu,507-0048,Japan
Hashima-gun,Gifu,501-6013,Japan
Nishisonogi-gun,Nagasaki,851-2102,Japan
Suzukashi,Mie,513-0819,Japan
Tsu-shi,Mie,514-0817,Japan
Nagoya-shi,Aichi,462-0845,Japan
Imabari-shi,Ehime,799-1504,Japan
Kanonji-shi,Kagawa,768-0011,Japan
Uwajima-shi,Ehime,798-0020,Japan
Matsuyama-shi,Ehime,791-8044,Japan
Kofu-shi,Yamanashi,400-0054 ,Japan
