Reporting Region,City,State,Zip,Country,FSL Provider
USA,Birmingham,AL,35209,USA,FGL
USA,Little Rock,AR,72204,USA,FGL
USA,Tempe,AZ,85282,USA,FGL
USA,Atascadero,CA,93422,USA,FGL
USA,Bakersfield,CA,93309,USA,FGL
USA,San Bernadino,CA,92407,USA,FGL
USA,Van Nuys,CA,91411,USA,FGL
USA,Eureka,CA,95501,USA,FGL
USA,Oakland,CA,94603,USA,FGL
USA,Redding,CA,96002,USA,FGL
USA,Riverside,CA,92507,USA,FGL
USA,Sacramento,CA,95815,USA,FGL
USA,San Diego,CA,92037,USA,FGL
USA,Santa Rosa,CA,95401,USA,FGL
USA,Hayward,CA,94545,USA,FGL
USA,Doral,FL,33126,USA,FGL
USA,Ft. Lauderdale,FL,33309,USA,FGL
USA,Orlando,FL,32809,USA,FGL
USA,Tampa,FL,33634,USA,FGL
USA,Savannah,GA,31415,USA,FGL
USA,Harmon,GU,96931,USA,FGL
USA,Honolulu,HI,96817,USA,FGL
USA,Des Moines,IA,50313,USA,FGL
USA,Pocatello,ID,83201,USA,FGL
USA,Elk Grove Villa,IL,60007,USA,FGL
USA,Peoria,IL,61610,USA,FGL
USA,Lenexa,KS,66215,USA,FGL
USA,Lexington,KY,40511,USA,FGL
USA,Louisville,KY,40228,USA,FGL
USA,Ashland,KY,41101,USA,FGL
USA,New Orleans,LA,70123,USA,FGL
USA,Shreveport,LA,71106,USA,FGL
USA,Cambridge,MA,2138,USA,FGL
USA,Baltimore,MD,22309,USA,FGL
USA,Portland,ME,4101,USA,FGL
USA,Detroit,MI,48174,USA,FGL
USA,Flint,MI,48507,USA,FGL
USA,Grand Rapids,MI,49512,USA,FGL
USA,Minneapolis,MN,55408,USA,FGL
USA,Saint Louis,MO,63114,USA,FGL
USA,Bozeman,MT,59715,USA,FGL
USA,Greenville,NC,27858,USA,FGL
USA,Raleigh,NC,27604,USA,FGL
USA,Winston Salem,NC,27103,USA,FGL
USA,Bismark,ND,58501,USA,FGL
USA,West Fargo,ND,58078,USA,FGL
USA,South Kearny,NJ,7032,USA,FGL
USA,Westville,NJ,8093,USA,FGL
USA,Roswell,NM,88203,USA,FGL
USA,Albuquerque,NM,87109,USA,FGL
USA,Las Vegas,NV,89120,USA,FGL
USA,Albany,NY,12205,USA,FGL
USA,New York,NY,10022,USA,FGL
USA,Rochester,NY,14606,USA,FGL
USA,Columbus,OH,43204,USA,FGL
USA,Oklahoma City,OK,73128,USA,FGL
USA,Portland,OR,97230,USA,FGL
USA,Allentown,PA,18109,USA,FGL
USA,Camp Hill,PA,17011,USA,FGL
USA,Pittsburgh,PA,15233,USA,FGL
USA,Scranton,PA,18512,USA,FGL
USA,State College,PA,16803,USA,FGL
USA,San Juan,PR,923,USA,FGL
USA,Columbia,SC,29212,USA,FGL
